cpt_code,Simple Description,Description,Category,Specialty
20610,"Joint injection, major, without ultrasound","Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",Injection / Aspiration (Therapeutic/Diagnostic),Orthopedic
20611,"Joint injection, major, with ultrasound","Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); with ultrasound guidance, with permanent recording and reporting",Injection / Aspiration (Image-Guided),Orthopedic
27447,Knee replacement,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Arthroplasty (Joint Replacement),Orthopedic
27130,Hip replacement,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",Arthroplasty (Joint Replacement),Orthopedic
20600,"Joint injection, minor, without ultrasound","Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Injection / Aspiration (Therapeutic/Diagnostic),Orthopedic
20605,"Joint injection, intermediate, without ultrasound","Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance",Injection / Aspiration (Therapeutic/Diagnostic),Orthopedic
29827,Shoulder repair with rotator cuff repair,"Arthroscopy, shoulder, surgical; with rotator cuff repair",Arthroscopy (Minimally Invasive Surgery),Orthopedic
29881,Knee repair,"Arthroscopy, knee, surgical; with meniscectomy (medial OR lateral, including any meniscal shaving) including debridement/shaving of articular cartilage (chondroplasty), same or separate compartment(s), when performed",Arthroscopy (Minimally Invasive Surgery),Orthopedic
26055,Tendon repair,"Tendon sheath incision (eg, for trigger finger)",Incision/Release (Open or Percutaneous Surgery),Orthopedic
29826,Shoulder repair,"Arthroscopy, shoulder, surgical; decompression of subacromial space with partial acromioplasty, with coracoacromial ligament (ie, arch) release, when performed (List separately in addition to code for primary procedure)",Arthroscopy (Minimally Invasive Surgery),Orthopedic
97110,"Physical therapy exercises, 15 min.","Therapeutic exercises to develop strength, endurance, range of motion, and flexibility. (15 min.)",Therapeutic Procedure,Physical Medicine & Rehabilitation
97140,"Manual physical therapy, 15 min.","Manual therapy techniques (e.g., mobilization, manipulation, manual traction) to one or more regions. (15 min.)",Therapeutic Procedure,Physical Medicine & Rehabilitation
97112,"Neuromuscular re-education, 15 min.","Neuromuscular re-education of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception. (15 min.)",Therapeutic Procedure,Physical Medicine & Rehabilitation
97530,"Physical therapy, dynamic activities, 15 min.",Therapeutic activities utilizing dynamic activities to improve functional performance. (15 min.),Therapeutic Procedure,Physical Medicine & Rehabilitation
97116,"Gait training, 15 min.",Gait training (including stair climbing) to improve walking ability. (15 min.),Therapeutic Procedure,Physical Medicine & Rehabilitation
97161,"Physical therapy initial assessment, low complexity","Physical therapy evaluation, low complexity. (Used for initial assessment)",Evaluation,Physical Medicine & Rehabilitation
97162,"Physical therapy initial assessment, moderate complexity","Physical therapy evaluation, moderate complexity. (Used for initial assessment)",Evaluation,Physical Medicine & Rehabilitation
97035,"Ultrasound therapy, 15 min.",Ultrasound therapy (constant attendance modality). (15 min.),Modality,Physical Medicine & Rehabilitation
97535,"Self-care/home management training, 15 min.","Self-care/home management training (e.g., ADLs, safety procedures, assistive technology). (15 min.)",Therapeutic Procedure,Physical Medicine & Rehabilitation
97164,Physical therapy re-evaluation of established plan,Physical therapy re-evaluation of established plan of care.,Evaluation,Physical Medicine & Rehabilitation
90791,"Psychiatric evaluation, without medical",Psychiatric diagnostic evaluation (without medical services). This is for the initial intake session without medication prescribing/management. (Up to 90 minutes typical).,Diagnostic Evaluation,Psychiatry/Psychology
90792,"Psychiatric evaluation, with medical","Psychiatric diagnostic evaluation with medical services. Used for an initial intake that includes medical services (e.g., medication assessment). (1-2 hours typical).",Diagnostic Evaluation,Psychiatry/Psychology
90832,"Individual Psychotherapy, 30 min.","Individual Psychotherapy, 30 minutes. Must be face-to-face time of 16 - 37 minutes. Used for a standalone therapy session.",Psychotherapy (Standalone),Psychiatry/Psychology
90834,"Individual Psychotherapy, 45 min.","Individual Psychotherapy, 45 minutes. Must be face-to-face time of 38 - 52 minutes. This is the most commonly used individual therapy code.",Psychotherapy (Standalone),Psychiatry/Psychology
90837,"Individual Psychotherapy, 60 min.","Individual Psychotherapy, 60 minutes. Must be face-to-face time of 53 minutes or more. Used for a longer, standalone therapy session.",Psychotherapy (Standalone),Psychiatry/Psychology
