payer_name,bucket,specification
1016_TRULI HEALTH HMO,Commercial,Truli
1023_BLUE CROSS BLUE SHIELD,Commercial,Blue Cross Blue Shield
1024_CIGNA,Commercial,Cigna
1025_AETNA,Commercial,Aetna
1028_UNITED MEDICAL RESOURCES,Commercial,United
1085_AETNA,Commercial,Aetna
1195_HUMANA,Commercial,Humana
1195_MOLINA,Commercial,Molina
1195_SIMPLY HEALTHCARE,Commercial,Simply
1195_SUNSHINE,Commercial,Sunshine
1195_UNITEDHEALTHCARE HMO,Commercial,United Health Care
121_BLUE CROSS BLUE SHIELD,Commercial,Blue Cross Blue Shield
141,Unknown,Unknown
149_ARCHBOLD MEDICAL CENTER,Commercial,Archbold
182_AVALON PLUS,Commercial,Avalon
182_COVENTRY HEALTH CARE,Commercial,Coventr
182_PHCS NETWORK,Commercial,PHCS
182_TRILOGY,Commercial,Trilogy
241,Unknown,Unknown
288,Unknown,Unknown
29_AETNA,Commercial,Aetna
31_CENTRAL STATES,Government,Other Government
371,Unknown,Unknown
44_CIGNA,Commercial,Cigna
45,Unknown,Unknown
45_UNITED HEALTHCARE,Commercial,United Health Care
605_SECURITY HEALTH,Commercial,Security Health
64_MIDLANDS CHOICE,Commercial,Midlands
64_PCHS/HEALTHEOS,Commercial,PCHS
690_GALAXY HEALTH TRANSPLANT,Commercial,Galaxy
694_KAISER PERMANENTE TRANSPLANT,Commercial,Kaiser Permanente
696_OPTUMHEALTH TRANSPLANT,Commercial,Optum
697_6 DEGREES HEALTH TRANSPLANT,Commercial,6 Degrees
699_CENTRAL STATES TRANSPLANT,Commercial,Central State
699_TRILOGY TRANSPLANT,Commercial,Trilogy
700_HUMANA TRANSPLANT,Commercial,Humana
71_ALLIED BENEFIT SYSTEMS,Commercial,Allied Benefit
758_MEDICA,Commercial,Medica
764_PREFERRED ONE,Commercial,Preferred One
766_UNITED MEDICAL RESOURCES,Commercial,United
77_COVENTRY NATIONAL NETWORK,Commercial,Coventry
804_HEALTH DESIGN PLUS,Commercial,Health Design
814_UNITED MEDICAL RESOURCES,Commercial,United
818_HEALTH PLANS INCORPORATED TRANSPLANT,Unknown,Unknown
818_JP FARLEY CORP TRANSPLANT,Commercial,JP Farley
839_CIGNA,Commercial,Cigna
852_HEALTH HUB USA,Unknown,Unknown
857_ALLIANCE COAL HEALTH PLAN,Commercial,Alliance Coal
864_CLALIT,Unknown,Unknown
882_WALMART CANCER PROGRAM,Commercial,Walmart
882_WALMART SPINE NETWORK,Commercial,Walmart
90 DEGREE BENEFITS,Commercial,90 Degree
904_BMI,Unknown,Unknown
909_UNITED MEDICAL RESOURCES,Commercial,United
938_ALLIANZ,Commercial,Allianz
961_INTERLINK HEALTH CARE,Commercial,Interlink
9_MIDLANDS CHOICE NETWORK INDIVIDUAL AND FAMILY BUSINESS,Commercial,Midlands
AARP,Commercial,AARP
AARP MCR HMO,Commercial,AARP
ACCESS BEAHVIORAL HEALTH HUMANA MCD,Government,Medicaid
ADMINISTRATIVE CONCEPTS [100292],Unknown,Unknown
AETNA,Commercial,Aetna
AETNA BEHAVIORAL HEALTH [100331],Commercial,Aetna
AETNA BETTER HEALTH [210102],Commercial,Aetna
AETNA BETTER HEALTH [250313],Commercial,Aetna
AETNA COVENTRY MCR REPLACEMENT [250518],Government,Medicare
AETNA MCR REPLACEMENT,Government,Medicare
AETNA MEDICAID [450116],Government,Medicaid
AETNA MEDICARE ADVANTAGE,Government,Medicare
AETNA MEDICARE SUPPLEMENT [100276],Government,Medicare
AETNA MEDICARE [450126],Government,Medicare
AETNA NEW BUSINESS,Commercial,Aetna
AETNA NEW BUSINESS DISCOUNT,Commercial,Aetna
AETNA QUALIFIED HEALTH PLANS,Commercial,Aetna
AETNA WHOLE HEALTH,Commercial,Aetna
AETNA [100001],Commercial,Aetna
AETNA [210101],Commercial,Aetna
AFFORDABLE,Unknown,Unknown
AITHER HEALTH [100342],Commercial,Aither
ALIGN SENIOR CARE [250524],Commercial,Align
ALLIED BENEFIT GROUP [100312],Commercial,Allied Benefit
ALLSTATE AUTO [750005],Commercial,Allstate
AM FIRST INSURANCE COMPANY [100355],Commercial,AM First
AMA INSURANCE [100329],Commercial,AMA
AMBETTER COMMERCIAL,Commercial,Ambetter
AMBETTER COMMERCIAL-EXCHANGE,Commercial,Ambetter
