plan_name,bucket
(Rockport Community) WORKERSCOMP,Other Government
(hie) oscar health (hie),Commercial
(rockport community) workerscomp,Other Government
(rockport) workerscomp,Other Government
=- other selfpay - other,Self Pay
=-fl bcbsflhealthoptions,Commercial
=-fl bcbsflhealthoptionsmgdmcare,Medicare
=-fl bcbsflhealthoptionsmti,Commercial
=-fl bcbsflmybluehmo,Commercial
=-fl bcbsflnetworkblue,Commercial
=-fl bcbsflnetworkbluemti,Commercial
=-fl bcbsflphs,Commercial
=-fl bcbsflppc,Commercial
=-fl bcbsflppcphsmti,Commercial
=-fl bcbsflppomgdmcare,Medicare
=-fl bcbsflsimplybluehmo,Commercial
=-fl bcbsflwc,Commercial
/coventry workers comp aetna/coventry workers comp,Other Government
1020_AETNA NEW BUSINESS DISCOUNT INPATIENT 20211015,Commercial
1021_AETNA NEW BUSINESS DISCOUNT OUTPATIENT 20211015,Commercial
1072_AETNA NEW BUSINESS DISCOUNT OUTPATIENT SIFL 20220801,Commercial
1116_MEDICAID REPLACEMENT MOLINA 20210701,Medicaid
1130_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT SIFL 20220908,Medicare
1131_MEDICAID REPLACEMENT MOLINA 20210701,Medicaid
1135_INMATE HEALTH CARE  OUTPATIENT 20220701,Other Government
1172_MEDICARE ADVANTAGE HUMANA HMO CARDIOLOGY INPATIENT 20230512,Medicare
1201_MEDICARE ADVANTAGE HUMANA HMO CARDIOLOGY INPATIENT 20230512,Medicare
1237_MEDICAID REPLACEMENT MOLINA 20210701,Medicaid
1259_90 DEGREE BENEFITS OUTPATIENT 20240101,Commercial
1260_SUNSHINE AMBETTER EXCHANGE COMMERCIAL OUTPATIENT 20240101,Commercial
1261_MEDICARE (NO SEQ) OUTPATIENT 20240101,Medicare
1262_VETERANS ADMINISTRATION OUTPATIENT 20240101,Other Government
1263_MOLINA EXCHANGE OUTPATIENT 20240101,Commercial
1264_SMARTHEALTH OUTPATIENT 20240101,Commercial
1265_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20240101,Medicare
1266_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Medicare
1267_MEDICARE ADVANTAGE BLUE CROSS OUTPATIENT 20240101,Medicare
1268_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE OUTPATIENT 20240101,Medicare
1269_MEDICARE ADVANTAGE BRIGHT HEALTH OUTPATIENT 20240101,Medicare
1271_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT 20240101,Medicare
1272_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT 20240101,Medicare
1273_MEDICARE ADVANTAGE COVENTRY HMO OUTPATIENT 20240101,Medicare
1274_MEDICARE ADVANTAGE HAVEN HOSPICE OUTPATIENT 20240101,Medicare
1275_MEDICARE ADVANTAGE HUMANA HMO OUTPATIENT 20240101,Medicare
1276_MEDICARE ADVANTAGE HUMANA PPO OUTPATIENT 20240101,Medicare
1277_MEDICARE ADVANTAGE MOLINA OUTPATIENT 20240101,Medicare
1278_MEDICARE ADVANTAGE OUTPATIENT 20240101,Medicare
1279_MEDICARE ADVANTAGE UNITED HEALTH CARE WELLMED OUTPATIENT 20240101,Medicare
1293_MEDICARE ADVANTAGE AETNA OUTPATIENT 20240201,Medicare
1294_MEDICARE ADVANTAGE HUMANA HMO CARDIOLOGY INPATIENT 20230512,Medicare
1296_AETNA QUALIFIED HEALTH PLANS (QHP) OUTPATIENT 20240201,Commercial
1298_AETNA WHOLE HEALTH OUTPATIENT 20240201,Commercial
1333_SUNSHINE AMBETTER EXCHANGE COMMERCIAL OUTPATIENT 20240101,Commercial
1334_90 DEGREE BENEFITS OUTPATIENT 20240101,Commercial
1335_MOLINA EXCHANGE OUTPATIENT 20240101,Commercial
1336_SMARTHEALTH OUTPATIENT 20240101,Commercial
1337_VETERANS ADMINISTRATION OUTPATIENT 20240101,Other Government
1338_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20240101,Medicare
1339_MEDICARE ADVANTAGE BRIGHT HEALTH OUTPATIENT 20240101,Medicare
1340_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE OUTPATIENT 20240101,Medicare
1340_SMARTHEALTH INPATIENT 20241001,Commercial
1341_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE INPATIENT 20241001,Medicare
1342_MEDICARE ADVANTAGE OCCUNET INPATIENT 20241001,Medicare
1343_MOLINA EXCHANGE INPATIENT 20241001,Commercial
1344_MEDICARE ADVANTAGE BRIGHT HEALTH INPATIENT 20241001,Medicare
