plan_name,bucket,specification
29.25,Unknown,Unknown
91.65,Unknown,Unknown
156.65,Unknown,Unknown
187.2,Unknown,Unknown
241.15,Unknown,Unknown
(hie) oscar health (hie),Commercial,Oscar
(Rockport Community) WORKERSCOMP,Government,Worker's Comp
(rockport community) workerscomp,Government,Worker's Comp
(rockport) workerscomp,Government,Worker's Comp
/coventry workers comp aetna/coventry workers comp,Government,Worker's Comp
_ better_health_healthy_kids,Commercial,Better Health
_ better_health_medicaid,Government,Medicaid
_ epo,Commercial,United Health Care
_better_health healthy_kids,Commercial,Better Health
_better_health mcd,Government,Medicaid
_careplus hmo_medicare,Government,Medicare
_careplus medicare,Government,Medicare
_epo,Commercial,United Health Care
_health medicare,Government,Medicare
_health medicare_hmo_ppo,Government,Medicare
_health_plans _medicare,Government,Medicare
_health_plans _medicare_hmo,Government,Medicare
_healthcare _hmo_ppo_medicare,Government,Medicare
_healthcare _medicare,Government,Medicare
_healthcare behavioral,Commercial,Behavioral
_healthcare highlands_county,Commercial,Highlands County
_healthcare hmo_ppo,Commercial,Other Commercial
_healthcare surefit_epo,Commercial,Surefit
_healthcare volusia_county,Commercial,Volusia
_healthcare volusia_county_hmo,Commercial,Volusia
_medicare_adv__ppo,Government,Medicare
_medicare_adv_hmo,Government,Medicare
_medicare_adv_hmo_,Government,Medicare
_medicare_adv_hmo_ppo,Government,Medicare
_medicare_adv_ppo,Government,Medicare
_surefit surefit_epo,Commercial,Surefit
_whole_health hmo_ppo,Commercial,Whole Health
1020_AETNA NEW BUSINESS DISCOUNT INPATIENT 20211015,Commercial,Aetna
1021_AETNA NEW BUSINESS DISCOUNT OUTPATIENT 20211015,Commercial,Aetna
1072_AETNA NEW BUSINESS DISCOUNT OUTPATIENT SIFL 20220801,Commercial,Aetna
1116_MEDICAID REPLACEMENT MOLINA 20210701,Government,Medicaid
1130_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT SIFL 20220908,Government,Medicare
1131_MEDICAID REPLACEMENT MOLINA 20210701,Government,Medicaid
1135_INMATE HEALTH CARE  OUTPATIENT 20220701,Government,Other Government
1172_MEDICARE ADVANTAGE HUMANA HMO CARDIOLOGY INPATIENT 20230512,Government,Medicare
1201_MEDICARE ADVANTAGE HUMANA HMO CARDIOLOGY INPATIENT 20230512,Government,Medicare
1237_MEDICAID REPLACEMENT MOLINA 20210701,Government,Medicaid
1259_90 DEGREE BENEFITS OUTPATIENT 20240101,Unknown,Unknown
1260_SUNSHINE AMBETTER EXCHANGE COMMERCIAL OUTPATIENT 20240101,Commercial,Sunshine
1261_MEDICARE (NO SEQ) OUTPATIENT 20240101,Government,Medicare
1262_VETERANS ADMINISTRATION OUTPATIENT 20240101,Government,VA
1263_MOLINA EXCHANGE OUTPATIENT 20240101,Commercial,Molina
1264_SMARTHEALTH OUTPATIENT 20240101,Unknown,Unknown
1265_MEDICARE ADVANTAGE OCCUNET OUTPATIENT 20240101,Government,Medicare
1266_SUNSHINE MEDICARE ADVANTAGE WELLCARE OUTPATIENT 20240101,Government,Medicare
1267_MEDICARE ADVANTAGE BLUE CROSS OUTPATIENT 20240101,Government,Medicare
1268_MEDICARE ADVANTAGE ALIGNMENT HEALTHCARE OUTPATIENT 20240101,Government,Medicare
1269_MEDICARE ADVANTAGE BRIGHT HEALTH OUTPATIENT 20240101,Government,Medicare
1271_MEDICARE ADVANTAGE CAREPLUS OUTPATIENT 20240101,Government,Medicare
1272_MEDICARE ADVANTAGE COMMUNITY HOSPICE OUTPATIENT 20240101,Government,Medicare
