zip_code,county,city,state
32099,Duval,Jacksonville,FL
32202,Duval,Jacksonville,FL
32204,Duval,Jacksonville,FL
32205,Duval,Jacksonville,FL
32206,Duval,Jacksonville,FL
32207,Duval,Jacksonville,FL
32208,Duval,Jacksonville,FL
32209,Duval,Jacksonville,FL
32210,Duval,Jacksonville,FL
32211,Duval,Jacksonville,FL
32216,Duval,Jacksonville,FL
32217,Duval,Jacksonville,FL
32218,Duval,Jacksonville,FL
32219,Duval,Jacksonville,FL
32220,Duval,Jacksonville,FL
32221,Duval,Jacksonville,FL
32222,Duval,Jacksonville,FL
32223,Duval,Jacksonville,FL
32224,Duval,Jacksonville,FL
32225,Duval,Jacksonville,FL
32226,Duval,Jacksonville,FL
32227,Duval,Jacksonville,FL
32228,Duval,Jacksonville,FL
32233,Duval,Atlantic Beach,FL
32234,Duval,Jacksonville,FL
32244,Duval,Jacksonville,FL
32246,Duval,Jacksonville,FL
32250,Duval,Jacksonville Beach,FL
32254,Duval,Jacksonville,FL
32256,Duval,Jacksonville,FL
32257,Duval,Jacksonville,FL
32258,Duval,Jacksonville,FL
32277,Duval,Jacksonville,FL
33301,Broward,Fort Lauderdale,FL
33304,Broward,Fort Lauderdale,FL
33305,Broward,Fort Lauderdale,FL
33306,Broward,Fort Lauderdale,FL
33308,Broward,Fort Lauderdale,FL
33309,Broward,Fort Lauderdale,FL
33311,Broward,Fort Lauderdale,FL
33312,Broward,Fort Lauderdale,FL
33313,Broward,Lauderhill,FL
33314,Broward,Davie,FL
33315,Broward,Fort Lauderdale,FL
33316,Broward,Fort Lauderdale,FL
33317,Broward,Plantation,FL
33319,Broward,Lauderhill,FL
33321,Broward,Tamarac,FL
33322,Broward,Plantation,FL
33323,Broward,Sunrise,FL
33324,Broward,Plantation,FL
33325,Broward,Plantation,FL
33326,Broward,Weston,FL
33327,Broward,Weston,FL
33328,Broward,Davie,FL
33330,Broward,Davie,FL
33331,Broward,Weston,FL
33332,Broward,Southwest Ranches,FL
33010,Miami-Dade,Hialeah,FL
33012,Miami-Dade,Hialeah,FL
33013,Miami-Dade,Hialeah,FL
33014,Miami-Dade,Hialeah,FL
33015,Miami-Dade,Miami Lakes,FL
33016,Miami-Dade,Hialeah,FL
33018,Miami-Dade,Hialeah,FL
33030,Miami-Dade,Homestead,FL
33031,Miami-Dade,Homestead,FL
33032,Miami-Dade,Homestead,FL
33033,Miami-Dade,Homestead,FL
33034,Miami-Dade,Florida City,FL
33054,Miami-Dade,OPA Locka,FL
33055,Miami-Dade,Miami Gardens,FL
33056,Miami-Dade,Miami Gardens,FL
33125,Miami-Dade,Miami,FL
33126,Miami-Dade,Miami,FL
33127,Miami-Dade,Miami,FL
33128,Miami-Dade,Miami,FL
33129,Miami-Dade,Miami,FL
33130,Miami-Dade,Miami,FL
33131,Miami-Dade,Miami,FL
33132,Miami-Dade,Miami,FL
33133,Miami-Dade,Miami,FL
33134,Miami-Dade,Coral Gables,FL
33135,Miami-Dade,Miami,FL
33136,Miami-Dade,Miami,FL
33137,Miami-Dade,Miami,FL
33138,Miami-Dade,Miami,FL
33139,Miami-Dade,Miami Beach,FL
33140,Miami-Dade,Miami Beach,FL
33141,Miami-Dade,Miami Beach,FL
33142,Miami-Dade,Miami,FL
33143,Miami-Dade,South Miami,FL
33144,Miami-Dade,Miami,FL
33145,Miami-Dade,Miami,FL
33146,Miami-Dade,Coral Gables,FL
33147,Miami-Dade,Miami,FL
33149,Miami-Dade,Key Biscayne,FL
33150,Miami-Dade,Miami,FL
33154,Miami-Dade,Bal Harbour,FL
33155,Miami-Dade,Miami,FL
33156,Miami-Dade,Miami,FL
33157,Miami-Dade,Palmetto Bay,FL
33158,Miami-Dade,Palmetto Bay,FL
33160,Miami-Dade,North Miami Beach,FL
33161,Miami-Dade,North Miami,FL
33162,Miami-Dade,North Miami Beach,FL
33165,Miami-Dade,Miami,FL
33166,Miami-Dade,Miami Springs,FL
33167,Miami-Dade,Miami,FL
33168,Miami-Dade,Miami,FL
33169,Miami-Dade,Miami Gardens,FL
33170,Miami-Dade,Homestead,FL
33172,Miami-Dade,Miami,FL
