Commercial vs Govt deviation median,Procedure
925.62%,Evaluation of an implanted pacemaker or defibrillator
868.84%,Eye injection
739.45%,"Ultrasound therapy, 15 min."
662.77%,Cardiovascular stress test with report
585.60%,"CT or MRI to mark and measure tumor, complex"
510.83%,Chronic Care Management (CCM) services
506.79%,CT imaging to guide placement of radiation
490.66%,"Radiation treatment, complex"
403.26%,Eye diagnostic scan
396.64%,"Manual physical therapy, 15 min."
379.67%,"Gait training, 15 min."
349.21%,"Self-care/home management training, 15 min."
346.00%,"Physical therapy exercises, 15 min."
338.27%,Brachytherapy (internal) radiation therapy
336.12%,Artificial urethra insertion
329.07%,"Complete, non-invasive ultrasound of the heart"
326.27%,Eye internal photograph
314.19%,"Neuromuscular re-education, 15 min."
302.92%,"Joint injection, major, with ultrasound"
302.04%,Shoulder repair
297.50%,Ultraviolet light therapy for face
257.67%,Emergency placement of breathing tube
255.54%,Left heart catheterization to image coronary arteries
251.17%,"Individual Psychotherapy, 30 min., with medication management"
249.51%,"ER visit, low complexity"
244.75%,Infant hernia surgical repair
244.59%,"Critical care services, first 30-74 minutes"
240.88%,Emergency skull surgery for head trauma
240.88%,Major open brain surgery for tumor
240.88%,Small drill hole in skull for tissue sample
240.88%,"Surgery for biliary atresia, liver disease in newborns"
240.88%,"Surgery for sunken chest deformity, minimally invasive"
240.88%,Surgical managment of stomach birth defect
240.88%,Surgical repair of diaphragm birth defect
240.88%,Surgical repair of esophagus birth defect
240.88%,"Surgical repair of imperforate anus, severe birth defect"
238.87%,"ER visit, moderate complexity"
229.32%,"Simple repair of single laceration, moderate-sized"
229.07%,Microsurgical techniques used in surgery for nervous system
227.57%,"Stereotactic body radiation therapy, treatment delivery"
223.61%,Cataract surgery
221.14%,"Physical therapy, dynamic activities, 15 min."
212.23%,3D computer map of tumor
212.01%,"Individual Psychotherapy, 45 min., with medication management"
212.01%,"Individual Psychotherapy, 60 min., with medication management"
210.46%,Radiation therapy complex planning
205.13%,Health risk assessment and scoring
194.28%,"ER visit, high complexity"
194.13%,Knee repair
182.36%,Vasectomy
181.54%,"Joint injection, major, without ultrasound"
179.86%,Design and build of custom molds to protect cancer patient
169.21%,"Joint injection, intermediate, without ultrasound"
169.02%,"Kidney removal, minimally invasive"
168.67%,Eye drainage to lower eye pressure
168.11%,Bedside ultrasound of the heart
163.03%,"Kidney stone treatment, external with sound waves"
162.25%,"Physical therapy initial assessment, moderate complexity"
161.76%,Physical therapy re-evaluation of established plan
154.28%,Tendon repair
151.03%,"ER visit, highest complexity"
150.22%,Eye plug for severe dry eyes
149.40%,"Radiation for brain tumor, non-invasive, single session"
131.45%,"Joint injection, minor, without ultrasound"
130.50%,Measurement of coronary Fractional Flow Reserve (FFR)
128.01%,Insertion of catheter into central vein for rapid fluid/medication
124.81%,Carpal tunnel release surgery
119.26%,Peripheral vision exam
116.68%,Mole or growth removal
116.60%,Prostate removal
116.44%,"Destruction of non-cancerous spot, up to 14 lesions"
116.25%,Bladder biopsy
113.96%,Skin flap repair
113.28%,"Psychiatric evaluation, with medical"
98.55%,"Destruction of pre-cancerous spot, 1st lesion"
94.17%,Surgery to remove tumor or lesion inside spinal canal
93.71%,"Psychiatric evaluation, without medical"
90.72%,"Surgical management of undescended testes, inguinal"
84.58%,"Psychotherapy for crisis, 60 min."
79.47%,Spinal cord electrode placement for chronic pain
78.42%,"Physical therapy initial assessment, low complexity"
75.31%,Surgical repair of abdominal birth defect
72.53%,"Appendix removal, minimally invasive"
64.73%,"Eye evaluation, existing patient"
64.15%,Kidney stone treatment with scope
61.12%,Temporary tube placement with scope
56.41%,"Spinal cord surgery for pinched nerves, minimally invasive"
54.60%,"Face dermabrasion, partial"
53.66%,"Individual Psychotherapy, 60 min."
47.42%,Placement of chest tube
45.69%,Lumbar spinal fusion
39.77%,Stent placement for blocked artery
38.75%,"Punch biopsy, single lesion"
32.62%,Smoking and tobacco use cessation counseling
31.14%,Acne surgery
31.05%,"Bladder diagnostic test, complex"
29.16%,"Eye evaluation, new patient"
27.85%,Family psychotherapy
23.16%,"Repair of congenital heart defect, minimally invasive"
18.64%,"Immunization administration, one vaccine"
16.69%,Shoulder repair with rotator cuff repair
9.93%,"Individual Psychotherapy, 45 min."
8.94%,Prostate biopsy
7.70%,Hip replacement
7.70%,Knee replacement
5.22%,Advance care planning including advance directives
4.27%,"Individual Psychotherapy, 30 min."
1.55%,"Skin injection, up to 7 lesions"
-1.64%,Comprehensive evaluation and treatment of AFib
-2.22%,Surgical management of supraventricular tachycardia (SVT)
-9.89%,Group Psychotherapy
-32.40%,Surgical placement of cardioverter-defibrillator (ICD)
-55.40%,Brief emotional/behavioral assessment
-61.42%,"Preventive medicine, individual counseling, 15 min."
-68.17%,Comprehensive preventive visit; established patient age 40-64
-68.17%,Comprehensive preventive visit; new patient age 40-64
-83.60%,"Stereotactic body radiation therapy, treatment managment"
-88.10%,"Radiation treatment management, 5 treatments"
-92.29%,"Preventive medicine, individual counseling, 45-60 min."
-95.82%,Eyesight measurement
-96.51%,"Destruction of pre-cancerous spot, 2nd through 14th lesion"
