hospital_name,hospital_address_single,ZIP4,setting,modifiers,standard_charge_gross,standard_charge_discounted_cash,payer_name,plan_name,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,estimated_amount,standard_charge_min,standard_charge_max,cpt_code,Description,Specialty,Rate
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,penfield,care management inc penfieldcaremanagementinc,,55.0,999999999.0,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,5053.400000000001
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,cigna,cignahealthplansurefit,1045.0,,,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,1045.0
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,avmed,avmedemployeroptionaso,9188.0,,,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,9188.0
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,us,and uk medical abroad llc ppo usandukmedicalabroadllcppo,,55.0,999999999.0,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,5053.400000000001
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,beacon,health options beaconhealthoptionsmgdmcare,,50.0,999999999.0,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,4594.0
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,bcbs,-fl bcbsflppc,2265.0,,,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,2265.0
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,magellan,magellanbehavioral,,60.0,999999999.0,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,5512.8
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,tour,plus med tourplusmedassistanceppo,69.65,,,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,69.65
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,preferred,governmental preferredgovernmentalclaimsolution,5609.5,,,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,5609.5
St. Marys Medical Center  - West Palm Beach,"901 45th St, West Palm Beach, FL 33407",33407,outpatient,,,,axis,services inc axisservicesinc,,60.0,999999999.0,0.95,9188.0,20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",Orthopedic,5512.8
